section,ppt_section_folder,filename,description,ppt_hint,report_path,section_path,order
acoustic,01_acoustic_features,disease_condition_cooccurrence_lower_triangle.png,Disease condition co-occurrence lower triangle heatmap.,Slide 6-7 phenotype overview,reports/disease_condition_cooccurrence_lower_triangle.png,reports/figures/01_acoustic_features/disease_condition_cooccurrence_lower_triangle.png,1
acoustic,01_acoustic_features,voice_exercises_analysis.png,Voice exercise/task distribution analysis.,Slide 6 dataset overview,reports/voice_exercises_analysis.png,reports/figures/01_acoustic_features/voice_exercises_analysis.png,2
acoustic,01_acoustic_features,feature_category_counts.png,Acoustic feature category count bar chart.,Slide 6-8 acoustic feature structure,reports/feature_category_counts.png,reports/figures/01_acoustic_features/feature_category_counts.png,3
acoustic,01_acoustic_features,static_features_mfcc.png,MFCC feature distribution panel.,Slide 8 feature distribution context,reports/static_features_mfcc.png,reports/figures/01_acoustic_features/static_features_mfcc.png,4
acoustic,01_acoustic_features,static_features_prosody.png,Prosody feature distribution panel.,Slide 8 feature distribution context,reports/static_features_prosody.png,reports/figures/01_acoustic_features/static_features_prosody.png,5
acoustic,01_acoustic_features,static_features_formant.png,Formant feature distribution panel.,Slide 8 feature distribution context,reports/static_features_formant.png,reports/figures/01_acoustic_features/static_features_formant.png,6
acoustic,01_acoustic_features,static_features_energy.png,Energy feature distribution panel.,Slide 8 feature distribution context,reports/static_features_energy.png,reports/figures/01_acoustic_features/static_features_energy.png,7
acoustic,01_acoustic_features,static_features_other.png,Other feature distribution panel.,Slide 8 feature distribution context,reports/static_features_other.png,reports/figures/01_acoustic_features/static_features_other.png,8
acoustic,01_acoustic_features,static_features_mfcc_pd.png,MFCC feature distributions for case vs control.,Slide 8 embedding/feature separability context,reports/static_features_mfcc_pd.png,reports/figures/01_acoustic_features/static_features_mfcc_pd.png,9
acoustic,01_acoustic_features,static_features_prosody_pd.png,Prosody feature distributions for case vs control.,Slide 8 embedding/feature separability context,reports/static_features_prosody_pd.png,reports/figures/01_acoustic_features/static_features_prosody_pd.png,10
acoustic,01_acoustic_features,static_features_formant_pd.png,Formant feature distributions for case vs control.,Slide 8 embedding/feature separability context,reports/static_features_formant_pd.png,reports/figures/01_acoustic_features/static_features_formant_pd.png,11
acoustic,01_acoustic_features,static_features_energy_pd.png,Energy feature distributions for case vs control.,Slide 8 embedding/feature separability context,reports/static_features_energy_pd.png,reports/figures/01_acoustic_features/static_features_energy_pd.png,12
