model,model_display,estimator_class,patient_aggregation,evaluation_split,selection_metric,n_features,threshold,cluster_k,cluster_aggregation,n_train_patients,n_val_patients,n_test_patients,accuracy,roc_auc,f1,precision,recall,best_epoch
logistic_regression,Logistic Regression,LogisticRegression,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.8529411764705882,0.8181818181818182,0.8148148148148148,0.6875,1.0,
elastic_net_logistic,Elastic-Net Logistic,SGDClassifier,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.8235294117647058,0.826086956521739,0.7857142857142857,0.6470588235294118,1.0,
random_forest,Random Forest,RandomForestClassifier,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.7352941176470589,0.7944664031620554,0.6086956521739131,0.5833333333333334,0.6363636363636364,
extra_trees,Extra Trees,ExtraTreesClassifier,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.7647058823529411,0.8379446640316206,0.6923076923076923,0.6,0.8181818181818182,
hist_gradient_boosting,Hist Gradient Boosting,HistGradientBoostingClassifier,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.7647058823529411,0.8675889328063242,0.6363636363636364,0.6363636363636364,0.6363636363636364,
svc_rbf,RBF SVM,SVC,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.7352941176470589,0.8181818181818181,0.5714285714285714,0.6,0.5454545454545454,
mlp,Neural Network,TorchRegularizedHybridNetClassifier,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.7647058823529411,0.849802371541502,0.6,0.6666666666666666,0.5454545454545454,21.0
residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.7941176470588235,0.8537549407114624,0.5882352941176471,0.8333333333333334,0.45454545454545453,11.0
wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,mean,val,roc_auc,17,0.5,17,mean,136,34,43,0.8235294117647058,0.91699604743083,0.75,0.6923076923076923,0.8181818181818182,40.0
logistic_regression,Logistic Regression,LogisticRegression,median,val,roc_auc,17,0.5,17,mean,136,34,43,0.6764705882352942,0.8023715415019763,0.5925925925925926,0.5,0.7272727272727273,
elastic_net_logistic,Elastic-Net Logistic,SGDClassifier,median,val,roc_auc,17,0.5,17,mean,136,34,43,0.7352941176470589,0.7747035573122529,0.6896551724137931,0.5555555555555556,0.9090909090909091,
random_forest,Random Forest,RandomForestClassifier,median,val,roc_auc,17,0.5,17,mean,136,34,43,0.7941176470588235,0.8498023715415021,0.6956521739130435,0.6666666666666666,0.7272727272727273,
extra_trees,Extra Trees,ExtraTreesClassifier,median,val,roc_auc,17,0.5,17,mean,136,34,43,0.7647058823529411,0.8972332015810276,0.6923076923076923,0.6,0.8181818181818182,
hist_gradient_boosting,Hist Gradient Boosting,HistGradientBoostingClassifier,median,val,roc_auc,17,0.5,17,mean,136,34,43,0.7647058823529411,0.8656126482213439,0.5555555555555556,0.7142857142857143,0.45454545454545453,
svc_rbf,RBF SVM,SVC,median,val,roc_auc,17,0.5,17,mean,136,34,43,0.7647058823529411,0.8735177865612648,0.6,0.6666666666666666,0.5454545454545454,
