search_stage,evaluation_split,n_clusters,aggregation,model,model_display,estimator_class,n_features,threshold,accuracy,roc_auc,f1,precision,recall,best_epoch
coarse,val,5,mean,mlp,Neural Network,TorchRegularizedHybridNetClassifier,5,0.5,0.5420673076923077,0.5992221047095607,0.5207547169811321,0.553475935828877,0.4916864608076009,6
coarse,val,5,mean,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,5,0.5,0.5600961538461539,0.6206806872756905,0.428125,0.6255707762557078,0.3254156769596199,1
coarse,val,5,mean,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,5,0.5,0.5673076923076923,0.6078563956747636,0.5945945945945946,0.5653104925053534,0.6270783847980997,19
coarse,val,5,pca,mlp,Neural Network,TorchRegularizedHybridNetClassifier,5,0.5,0.6081730769230769,0.648935739838526,0.6361607142857143,0.6,0.6769596199524941,8
coarse,val,5,pca,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,5,0.5,0.6201923076923077,0.6708162121238391,0.6127450980392157,0.6329113924050633,0.5938242280285035,17
coarse,val,5,pca,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,5,0.5,0.59375,0.644110014968416,0.5976190476190476,0.5990453460620525,0.5961995249406176,27
coarse,val,5,max,mlp,Neural Network,TorchRegularizedHybridNetClassifier,5,0.5,0.5564903846153846,0.5959683524917501,0.567409144196952,0.5601851851851852,0.5748218527315915,9
coarse,val,5,max,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,5,0.5,0.5625,0.6043310158295334,0.5528255528255528,0.5725190839694656,0.5344418052256532,9
coarse,val,5,max,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,5,0.5,0.5288461538461539,0.5665112031948032,0.5942028985507246,0.5266055045871559,0.6817102137767221,4
coarse,val,5,min,mlp,Neural Network,TorchRegularizedHybridNetClassifier,5,0.5,0.5661057692307693,0.5995226288930886,0.5193075898801598,0.5909090909090909,0.4631828978622327,12
coarse,val,5,min,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,5,0.5,0.5685096153846154,0.6060937057521485,0.4649776453055141,0.624,0.3705463182897862,6
coarse,val,5,min,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,5,0.5,0.5769230769230769,0.6129999826620663,0.5990888382687927,0.5754923413566739,0.6247030878859857,5
coarse,val,5,std,mlp,Neural Network,TorchRegularizedHybridNetClassifier,5,0.5,0.5637019230769231,0.6101161063624436,0.5734430082256169,0.5674418604651162,0.5795724465558195,4
coarse,val,5,std,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,5,0.5,0.5649038461538461,0.6033803191335657,0.6090712742980562,0.5584158415841585,0.669833729216152,2
coarse,val,5,std,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,5,0.5,0.5757211538461539,0.6221775288821078,0.5741857659831122,0.5833333333333334,0.5653206650831354,3
coarse,val,5,median,mlp,Neural Network,TorchRegularizedHybridNetClassifier,5,0.5,0.5348557692307693,0.5886344065514271,0.4941176470588235,0.5494186046511628,0.4489311163895487,7
coarse,val,5,median,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,5,0.5,0.5432692307692307,0.6013142153718121,0.4864864864864865,0.5642633228840125,0.4275534441805225,6
coarse,val,5,median,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,5,0.5,0.5264423076923077,0.5866752200472748,0.4587912087912087,0.5439739413680782,0.3966745843230403,7
coarse,val,5,sum,mlp,Neural Network,TorchRegularizedHybridNetClassifier,5,0.5,0.5396634615384616,0.5967081043281262,0.5206508135168961,0.5502645502645502,0.4940617577197149,6
coarse,val,5,sum,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,5,0.5,0.5600961538461539,0.6089255682507759,0.5887640449438202,0.55863539445629,0.6223277909738717,8
coarse,val,5,sum,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,5,0.5,0.5733173076923077,0.610202796030769,0.59613196814562,0.5720524017467249,0.6223277909738717,18
coarse,val,10,mean,mlp,Neural Network,TorchRegularizedHybridNetClassifier,10,0.5,0.6298076923076923,0.6993371130028723,0.6459770114942529,0.6258351893095768,0.667458432304038,11
coarse,val,10,mean,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,10,0.5,0.6586538461538461,0.728331917402084,0.6570048309178744,0.6683046683046683,0.6460807600950119,14
coarse,val,10,mean,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,10,0.5,0.6502403846153846,0.7151204119493039,0.6628041714947857,0.6470588235294118,0.6793349168646081,19
coarse,val,10,pca,mlp,Neural Network,TorchRegularizedHybridNetClassifier,10,0.5,0.6129807692307693,0.6913616635169422,0.6220657276995305,0.6148491879350348,0.6294536817102138,13
coarse,val,10,pca,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,10,0.5,0.6189903846153846,0.685998462703215,0.6266195524146054,0.6214953271028038,0.6318289786223278,13
coarse,val,10,pca,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,10,0.5,0.6189903846153846,0.6962971953002641,0.6318234610917538,0.6181818181818182,0.6460807600950119,11
coarse,val,10,max,mlp,Neural Network,TorchRegularizedHybridNetClassifier,10,0.5,0.5901442307692307,0.632308661453728,0.6289445048966268,0.5803212851405622,0.6864608076009501,3
coarse,val,10,max,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,10,0.5,0.5793269230769231,0.6279741780374615,0.5833333333333334,0.5847255369928401,0.5819477434679335,6
coarse,val,10,max,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,10,0.5,0.5817307692307693,0.6283267160219844,0.546875,0.6051873198847262,0.498812351543943,8
coarse,val,10,min,mlp,Neural Network,TorchRegularizedHybridNetClassifier,10,0.5,0.6225961538461539,0.6673370667683826,0.6170731707317073,0.6340852130325815,0.6009501187648456,6
coarse,val,10,min,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,10,0.5,0.6165865384615384,0.6652854112846831,0.5718120805369128,0.6574074074074074,0.505938242280285,6
coarse,val,10,min,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,10,0.5,0.6141826923076923,0.6621588039137496,0.5691275167785235,0.654320987654321,0.503562945368171,9
coarse,val,10,std,mlp,Neural Network,TorchRegularizedHybridNetClassifier,10,0.5,0.5793269230769231,0.6048164779721552,0.571078431372549,0.589873417721519,0.5534441805225653,10
coarse,val,10,std,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,10,0.5,0.5769230769230769,0.6075385335575706,0.5230352303523035,0.6088328075709779,0.4584323040380047,2
coarse,val,10,std,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,10,0.5,0.5661057692307693,0.6080991267460744,0.5424588086185045,0.5815217391304348,0.5083135391923991,4
coarse,val,10,median,mlp,Neural Network,TorchRegularizedHybridNetClassifier,10,0.5,0.6418269230769231,0.6979616369321104,0.6485849056603774,0.6440281030444965,0.6532066508313539,12
coarse,val,10,median,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,10,0.5,0.6658653846153846,0.7149239153677664,0.6674641148325359,0.672289156626506,0.66270783847981,11
coarse,val,10,median,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,10,0.5,0.6466346153846154,0.7036600377966955,0.6474820143884892,0.6537530266343826,0.6413301662707839,10
coarse,val,10,sum,mlp,Neural Network,TorchRegularizedHybridNetClassifier,10,0.5,0.6334134615384616,0.6977651403505731,0.659217877094972,0.6223628691983122,0.7007125890736342,13
coarse,val,10,sum,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,10,0.5,0.6574519230769231,0.7229744958995786,0.6750285062713797,0.6491228070175439,0.7030878859857482,17
coarse,val,10,sum,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,10,0.5,0.6418269230769231,0.7064341071831058,0.6566820276497696,0.6375838926174496,0.6769596199524941,22
coarse,val,15,mean,mlp,Neural Network,TorchRegularizedHybridNetClassifier,15,0.5,0.6574519230769231,0.748987175708399,0.6772366930917327,0.6471861471861472,0.7102137767220903,14
coarse,val,15,mean,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,15,0.5,0.6850961538461539,0.7718096757228474,0.7069351230425056,0.6680761099365751,0.7505938242280285,12
coarse,val,15,mean,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,15,0.5,0.6658653846153846,0.7745143933745976,0.7061310782241015,0.6361904761904762,0.7933491686460807,19
coarse,val,15,pca,mlp,Neural Network,TorchRegularizedHybridNetClassifier,15,0.5,0.671875,0.7566447630771365,0.6983425414364641,0.6528925619834711,0.7505938242280285,20
coarse,val,15,pca,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,15,0.5,0.6754807692307693,0.75977137044807,0.6793349168646081,0.6793349168646081,0.6793349168646081,10
coarse,val,15,pca,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,15,0.5,0.6694711538461539,0.7512064312175275,0.7020585048754063,0.6454183266932271,0.7695961995249406,18
coarse,val,15,max,mlp,Neural Network,TorchRegularizedHybridNetClassifier,15,0.5,0.609375,0.6418965387705093,0.6335963923337091,0.6030042918454935,0.667458432304038,17
coarse,val,15,max,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,15,0.5,0.6117788461538461,0.6396310487716075,0.6391061452513966,0.6033755274261603,0.6793349168646081,13
coarse,val,15,max,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,15,0.5,0.6189903846153846,0.6495945813177987,0.6393629124004551,0.6135371179039302,0.667458432304038,21
coarse,val,15,min,mlp,Neural Network,TorchRegularizedHybridNetClassifier,15,0.5,0.6538461538461539,0.7133403840930237,0.6363636363636364,0.6792452830188679,0.5985748218527316,10
coarse,val,15,min,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,15,0.5,0.6334134615384616,0.693736960429056,0.6124523506988564,0.6584699453551912,0.5724465558194775,5
coarse,val,15,min,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,15,0.5,0.6646634615384616,0.7202639989366068,0.6601705237515225,0.6775,0.6437054631828979,7
coarse,val,15,std,mlp,Neural Network,TorchRegularizedHybridNetClassifier,15,0.5,0.5673076923076923,0.608792644092677,0.5881006864988558,0.5673289183222958,0.6104513064133017,5
coarse,val,15,std,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,15,0.5,0.5973557692307693,0.6249862741358485,0.5978391356542617,0.6043689320388349,0.5914489311163895,23
coarse,val,15,std,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,15,0.5,0.5745192307692307,0.6147106587836861,0.5765550239234449,0.5807228915662651,0.5724465558194775,11
coarse,val,15,median,mlp,Neural Network,TorchRegularizedHybridNetClassifier,15,0.5,0.6802884615384616,0.7536395212418583,0.6963470319634704,0.6703296703296703,0.7244655581947743,26
coarse,val,15,median,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,15,0.5,0.6682692307692307,0.7515011760898336,0.6706443914081146,0.6738609112709832,0.667458432304038,10
coarse,val,15,median,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,15,0.5,0.6514423076923077,0.7462708994342054,0.6820175438596491,0.6334012219959266,0.7387173396674585,23
coarse,val,15,sum,mlp,Neural Network,TorchRegularizedHybridNetClassifier,15,0.5,0.6634615384615384,0.7533852315481041,0.6846846846846847,0.6509635974304069,0.7220902612826603,24
coarse,val,15,sum,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,15,0.5,0.6694711538461539,0.763036681288324,0.7001090512540894,0.6471774193548387,0.7624703087885986,12
coarse,val,15,sum,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,15,0.5,0.6742788461538461,0.760326184325352,0.696528555431131,0.6588983050847458,0.7387173396674585,17
coarse,val,20,mean,mlp,Neural Network,TorchRegularizedHybridNetClassifier,20,0.5,0.6887019230769231,0.782339580768764,0.704,0.6784140969162996,0.7315914489311164,16
coarse,val,20,mean,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,20,0.5,0.7115384615384616,0.7951985482370211,0.719626168224299,0.7080459770114943,0.7315914489311164,18
coarse,val,20,mean,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,20,0.5,0.7139423076923077,0.799914466193919,0.7193396226415094,0.7142857142857143,0.7244655581947743,13
coarse,val,20,pca,mlp,Neural Network,TorchRegularizedHybridNetClassifier,20,0.5,0.6610576923076923,0.7486808722136497,0.6758620689655173,0.6547884187082406,0.6983372921615202,23
coarse,val,20,pca,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,20,0.5,0.6802884615384616,0.7677063647554485,0.7070484581497798,0.6591375770020534,0.7624703087885986,14
coarse,val,20,pca,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,20,0.5,0.671875,0.7514260450439516,0.6983425414364641,0.6528925619834711,0.7505938242280285,18
coarse,val,20,max,mlp,Neural Network,TorchRegularizedHybridNetClassifier,20,0.5,0.6117788461538461,0.6609278106235299,0.6094316807738815,0.6206896551724138,0.5985748218527316,9
coarse,val,20,max,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,20,0.5,0.6213942307692307,0.6770116337534894,0.6358381502890174,0.6193693693693694,0.6532066508313539,27
