task_name,n_recordings
prolonged-vowel,899
glides-low-to-high,897
glides-high-to-low,893
maximum-phonation-time-3,825
maximum-phonation-time-2,825
maximum-phonation-time-1,825
free-speech-1,824
free-speech-2,824
free-speech-3,824
loudness,822
diadochokinesis-buttercup,822
diadochokinesis-ta,822
diadochokinesis-pataka,822
diadochokinesis-pa,822
diadochokinesis-ka,822
respiration-and-cough-cough-1,821
respiration-and-cough-fivebreaths-4,821
respiration-and-cough-fivebreaths-2,821
respiration-and-cough-fivebreaths-1,821
respiration-and-cough-cough-2,821
respiration-and-cough-fivebreaths-3,821
respiration-and-cough-breath-2,821
respiration-and-cough-breath-1,821
rainbow-passage,819
story-recall,819
picture-description,818
respiration-and-cough-threequickbreaths-1,790
respiration-and-cough-threequickbreaths-2,790
caterpillar-passage,384
cape-v-sentences-1,364
cape-v-sentences-6,364
cape-v-sentences-5,364
cape-v-sentences-4,364
cape-v-sentences-3,364
cape-v-sentences-2,364
free-speech,360
voluntary-cough,309
breath-sounds,308
productive-vocabulary-6,263
productive-vocabulary-5,263
productive-vocabulary-3,263
productive-vocabulary-2,263
productive-vocabulary-1,263
productive-vocabulary-4,263
word-color-stroop,261
random-item-generation,236
cinderella-story,235
open-response-questions,164
animal-fluency,162
loudness-v2,75
maximum-phonation-time-v2-1,74
free-speech-v2-1,74
free-speech-v2-2,74
free-speech-v2-3,74
diadochokinesis-v2-kuh,73
respiration-and-cough-v2-breath,73
respiration-and-cough-v2-hardcough,73
respiration-and-cough-v2-threebreaths,73
respiration-and-cough-v2-threebreathsmouth,73
respiration-and-cough-v2-threebreathsnose,73
story-recall-v2,73
diadochokinesis-v2-buttercup,73
diadochokinesis-v2-tuh,73
diadochokinesis-v2-puhtuhkuh,73
diadochokinesis-v2-puh,73
picture-description-option2,44
picture-description-option1,30
random-item-generation-v2,25
cape-v-sentences-v2-6,20
cape-v-sentences-v2-4,20
cape-v-sentences-v2-3,20
cape-v-sentences-v2-2,20
cape-v-sentences-v2-5,20
cape-v-sentences-v2-1,20
maximum-phonation-time-v2-2,11
harvard-sentences-list-12-3,6
harvard-sentences-list-36-2,6
harvard-sentences-list-36-9,6
harvard-sentences-list-36-7,6
harvard-sentences-list-36-6,6
harvard-sentences-list-36-5,6
harvard-sentences-list-36-4,6
harvard-sentences-list-12-1,6
harvard-sentences-list-36-3,6
harvard-sentences-list-36-10,6
harvard-sentences-list-12-2,6
harvard-sentences-list-36-1,6
harvard-sentences-list-12-9,6
harvard-sentences-list-12-8,6
harvard-sentences-list-12-7,6
harvard-sentences-list-12-5,6
harvard-sentences-list-12-4,6
harvard-sentences-list-12-10,6
harvard-sentences-list-12-6,6
harvard-sentences-list-36-8,6
harvard-sentences-list-71-7,5
harvard-sentences-list-7-1,5
harvard-sentences-list-16-1,5
harvard-sentences-list-16-10,5
harvard-sentences-list-16-2,5
harvard-sentences-list-16-3,5
harvard-sentences-list-16-4,5
harvard-sentences-list-16-5,5
harvard-sentences-list-16-6,5
harvard-sentences-list-16-7,5
harvard-sentences-list-16-8,5
harvard-sentences-list-16-9,5
harvard-sentences-list-2-9,5
harvard-sentences-list-71-9,5
harvard-sentences-list-71-8,5
harvard-sentences-list-7-10,5
harvard-sentences-list-2-8,5
harvard-sentences-list-7-2,5
harvard-sentences-list-7-3,5
harvard-sentences-list-7-4,5
harvard-sentences-list-7-5,5
harvard-sentences-list-7-6,5
harvard-sentences-list-7-7,5
harvard-sentences-list-7-8,5
harvard-sentences-list-7-9,5
harvard-sentences-list-71-1,5
harvard-sentences-list-71-10,5
harvard-sentences-list-71-2,5
harvard-sentences-list-71-3,5
harvard-sentences-list-71-4,5
harvard-sentences-list-71-6,5
harvard-sentences-list-71-5,5
harvard-sentences-list-2-4,5
harvard-sentences-list-2-7,5
harvard-sentences-list-2-10,5
harvard-sentences-list-2-1,5
harvard-sentences-list-2-3,5
harvard-sentences-list-2-5,5
harvard-sentences-list-2-6,5
harvard-sentences-list-2-2,5
harvard-sentences-list-24-6,4
harvard-sentences-list-24-7,4
harvard-sentences-list-24-8,4
harvard-sentences-list-24-9,4
harvard-sentences-list-24-5,4
harvard-sentences-list-24-4,4
harvard-sentences-list-24-3,4
harvard-sentences-list-24-2,4
harvard-sentences-list-24-10,4
harvard-sentences-list-24-1,4
harvard-sentences-list-41-7,4
